,City,Country,Latitude,Longitude,Date,Max Temperature (Celsius),Humidity(%),Cloudiness,Wind Speed(km/h)
243,miandrivazo,MG,-19.52,45.47,1587947267,23.03,82,0,0.13
244,cabinda,AO,-5.55,12.2,1587947267,25.73,84,76,1.65
245,bayangol,RU,50.7,103.47,1587947267,12.12,43,41,0.89
246,moose factory,CA,51.26,-80.61,1587947267,-3.0,73,1,4.1
247,liepaja,LV,56.54,21.04,1587947267,4.0,86,50,0.26
248,acari,PE,-15.43,-74.62,1587947268,21.72,62,5,1.72
249,kosh-agach,RU,50.0,88.67,1587947268,6.92,25,96,0.38
250,saint george,US,37.1,-113.58,1587947042,30.56,16,1,4.6
251,san carlos de bariloche,AR,-41.15,-71.31,1587947203,12.0,76,75,2.1
252,waingapu,ID,-9.66,120.26,1587947269,27.56,73,52,4.41
253,esna,EG,25.29,32.55,1587947269,24.0,33,0,3.1
254,dossor,KZ,47.53,52.98,1587947269,11.99,91,100,4.39
255,qasigiannguit,GL,68.82,-51.19,1587947269,6.0,41,99,8.2
256,lavrentiya,RU,65.58,-171.0,1587947269,-3.99,91,100,2.54
257,chuy,UY,-33.7,-53.46,1587947090,18.35,72,75,6.46
258,kyabe,TD,9.45,18.94,1587947270,29.12,26,58,1.57
259,bambanglipuro,ID,-7.95,110.28,1587947270,26.51,78,24,2.08
260,cabo san lucas,MX,22.89,-109.91,1587947271,33.0,21,5,5.1
261,hay river,CA,60.82,-115.8,1587946977,-10.0,66,75,3.6
262,ca mau,VN,9.18,105.15,1587947271,28.72,70,100,6.2
263,yaan,NG,7.38,8.57,1587947271,26.79,75,85,4.62
264,urumqi,CN,43.8,87.6,1587947272,19.0,11,0,2.0
265,saravan,AM,39.72,45.65,1587947272,9.0,87,26,2.1
266,soure,BR,-0.72,-48.52,1587947272,26.16,86,86,3.02
267,stepnyak,KZ,52.83,70.78,1587947272,7.34,49,69,4.47
268,vaitape,PF,-16.52,-151.75,1587947273,28.96,71,5,6.93
269,el sauzal,MX,31.9,-116.68,1587947273,21.67,82,9,1.79
270,khor,RU,47.89,134.95,1587947273,6.63,58,95,1.76
271,mehamn,NO,71.04,27.85,1587947274,-1.26,97,100,8.4
272,rio grande,BR,-32.03,-52.1,1587947274,20.56,84,98,1.34
273,ancud,CL,-41.87,-73.82,1587947274,13.89,87,20,3.6
274,upington,ZA,-28.45,21.26,1587947114,19.0,63,40,3.68
275,williams lake,CA,52.14,-122.14,1587947275,7.0,52,90,8.2
276,conceicao da barra,BR,-18.59,-39.73,1587947275,22.74,78,3,5.1
277,vostok,RU,46.49,135.88,1587947275,3.21,55,17,1.56
278,hervey bay,AU,-25.3,152.85,1587947276,25.56,62,2,2.68
279,tuatapere,NZ,-46.13,167.68,1587947276,13.33,80,88,4.92
280,timra,SE,62.49,17.33,1587947277,1.11,86,68,1.5
281,san pedro,PH,14.35,121.02,1587947277,31.11,62,20,1.0
282,iqaluit,CA,63.75,-68.51,1587947277,-5.0,73,90,6.2
283,dudinka,RU,69.41,86.18,1587947278,-4.0,92,40,6.0
284,duzce,TR,40.84,31.16,1587947278,11.25,62,49,0.26
285,cayenne,GF,4.93,-52.33,1587947278,25.0,100,90,1.0
286,sorong,ID,-0.88,131.25,1587947279,28.26,81,100,1.31
287,uddevalla,SE,58.35,11.94,1587947279,6.67,86,89,1.5
288,amahai,ID,-3.33,128.92,1587947279,27.74,76,65,0.23
289,aksu,CN,41.12,80.26,1587947280,16.5,20,6,0.61
290,toktogul,KG,41.87,72.94,1587947280,5.56,85,9,0.45
291,kahului,US,20.89,-156.47,1587947280,29.0,48,40,9.8
292,floro,NO,61.6,5.03,1587947281,6.0,87,98,2.1
293,sao gabriel da cachoeira,BR,-0.13,-67.09,1587947281,24.41,92,82,0.67
294,ulaanbaatar,MN,47.91,106.88,1587947281,8.0,39,0,1.43
295,yei,SS,4.09,30.68,1587947281,22.0,63,61,3.04
296,fortuna,US,40.6,-124.16,1587947282,17.22,62,40,4.6
297,benghazi,LY,32.12,20.07,1587947143,21.99,53,68,6.17
298,ishinomaki,JP,38.42,141.3,1587947282,13.0,50,75,3.6
299,luwuk,ID,-0.95,122.79,1587947282,28.21,61,100,1.58
300,the valley,AI,18.22,-63.06,1587947283,27.0,74,20,7.7
301,deogarh,IN,21.53,84.73,1587947283,23.26,73,11,1.35
302,vikulovo,RU,56.82,70.61,1587947283,7.25,57,4,3.29
303,sibolga,ID,1.74,98.78,1587947255,25.37,79,100,1.64
304,esmeraldas,BR,-19.76,-44.31,1587947187,22.0,73,29,4.1
305,paamiut,GL,61.99,-49.67,1587947284,0.89,91,100,4.79
306,newport,GB,51.59,-3.0,1587947151,11.67,85,68,2.21
307,saldanha,ZA,-33.01,17.94,1587947284,18.0,77,100,8.7
308,margate,GB,51.38,1.39,1587947285,8.33,90,32,0.89
309,kenai,US,60.55,-151.26,1587947285,11.0,32,1,5.1
310,jutai,BR,-5.18,-68.9,1587947000,23.87,87,86,0.48
311,durres,AL,41.32,19.44,1587947285,10.0,87,30,1.5
312,atyrau,KZ,47.12,51.88,1587947286,10.0,81,75,3.0
